"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"02-15-2020",NA,NA,"Hubei","China",2020-02-15 23:13:05,30.9756,112.2707,56249,1596,5623,49030,"Hubei, China"
"02-15-2020",NA,NA,"Guangdong","China",2020-02-15 14:03:04,23.3417,113.4244,1294,2,410,882,"Guangdong, China"
"02-15-2020",NA,NA,"Henan","China",2020-02-15 12:13:08,33.882,113.614,1212,13,391,808,"Henan, China"
"02-15-2020",NA,NA,"Zhejiang","China",2020-02-15 11:23:17,29.1832,120.0934,1162,0,428,734,"Zhejiang, China"
"02-15-2020",NA,NA,"Hunan","China",2020-02-15 13:03:04,27.6104,111.7088,1001,2,425,574,"Hunan, China"
"02-15-2020",NA,NA,"Anhui","China",2020-02-15 12:13:08,31.8257,117.2264,950,6,221,723,"Anhui, China"
"02-15-2020",NA,NA,"Jiangxi","China",2020-02-15 01:33:02,27.614,115.7221,913,1,210,702,"Jiangxi, China"
"02-15-2020",NA,NA,"Jiangsu","China",2020-02-15 12:13:08,32.9711,119.455,604,0,186,418,"Jiangsu, China"
"02-15-2020",NA,NA,"Chongqing","China",2020-02-15 23:23:07,30.0572,107.874,544,5,184,355,"Chongqing, China"
"02-15-2020",NA,NA,"Shandong","China",2020-02-15 11:23:17,36.3427,118.1498,532,2,156,374,"Shandong, China"
"02-15-2020",NA,NA,"Sichuan","China",2020-02-15 08:43:03,30.6171,102.7103,470,1,119,350,"Sichuan, China"
"02-15-2020",NA,NA,"Heilongjiang","China",2020-02-15 11:43:01,47.862,127.7615,425,11,68,346,"Heilongjiang, China"
"02-15-2020",NA,NA,"Beijing","China",2020-02-15 09:53:01,40.1824,116.4142,375,4,98,273,"Beijing, China"
"02-15-2020",NA,NA,"Shanghai","China",2020-02-15 03:13:06,31.202,121.4491,326,1,124,201,"Shanghai, China"
"02-15-2020",NA,NA,"Hebei","China",2020-02-15 13:03:04,39.549,116.1306,291,3,101,187,"Hebei, China"
"02-15-2020",NA,NA,"Fujian","China",2020-02-15 13:03:04,26.0789,117.9874,285,0,71,214,"Fujian, China"
"02-15-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-02-15 17:03:04,NA,NA,285,0,0,285,"Diamond Princess cruise ship, Others"
"02-15-2020",NA,NA,"Guangxi","China",2020-02-15 06:33:01,23.8298,108.7881,235,2,44,189,"Guangxi, China"
"02-15-2020",NA,NA,"Shaanxi","China",2020-02-15 12:13:08,35.1917,108.8701,232,0,60,172,"Shaanxi, China"
"02-15-2020",NA,NA,"Yunnan","China",2020-02-15 06:33:01,24.974,101.487,168,0,42,126,"Yunnan, China"
"02-15-2020",NA,NA,"Hainan","China",2020-02-15 11:23:17,19.1959,109.7453,162,4,39,119,"Hainan, China"
"02-15-2020",NA,NA,"Guizhou","China",2020-02-15 14:53:04,26.8154,106.8748,143,1,41,101,"Guizhou, China"
"02-15-2020",NA,NA,"Shanxi","China",2020-02-15 23:13:05,37.5777,112.2922,128,0,46,82,"Shanxi, China"
"02-15-2020",NA,NA,"Tianjin","China",2020-02-15 13:43:01,39.3054,117.323,122,3,37,82,"Tianjin, China"
"02-15-2020",NA,NA,"Liaoning","China",2020-02-15 09:53:01,41.2956,122.6085,119,1,31,87,"Liaoning, China"
"02-15-2020",NA,NA,"Gansu","China",2020-02-15 12:13:08,37.8099,101.0583,90,2,49,39,"Gansu, China"
"02-15-2020",NA,NA,"Jilin","China",2020-02-15 12:13:08,43.6661,126.1923,88,1,26,61,"Jilin, China"
"02-15-2020",NA,NA,NA,"Singapore",2020-02-15 23:53:02,1.2833,103.8333,72,0,18,54,"Singapore"
"02-15-2020",NA,NA,"Ningxia","China",2020-02-15 08:43:03,37.2692,106.1655,70,0,33,37,"Ningxia, China"
"02-15-2020",NA,NA,"Xinjiang","China",2020-02-15 09:53:01,41.1129,85.2401,70,1,10,59,"Xinjiang, China"
